angle,energy_objective,penalized_score,stress_constraint,x1,x2,x3,y1,y2,y3
10.0,13145.94020622275,-13145.94020622275,231.2245,10.25274594795401,10.0,1.0094289376984626,11.805115722865448,13.324774477736627,14.66463143254611
10.0,13141.832262249049,-13141.832262249049,233.19325,10.0,10.0,1.577831215119492,12.156129501866625,14.192387417614295,15.0
10.0,13127.212584910585,-13127.212584910585,233.97025,10.572084117186275,10.112920326220845,1.0,11.584810915129639,13.616278015631515,13.22714526254997
10.0,13120.667304885304,-13120.667304885304,235.14775,10.77174910748924,10.0,1.8016839132344131,11.83710294713679,14.667428609110694,15.0
10.0,13116.192435529536,-13116.192435529536,237.44125,10.0,10.001083537756434,2.3331744869386943,12.273744145660528,13.053694525620422,15.0
10.0,13112.615814086921,-13112.615814086921,235.66225,10.0,11.468635004353505,1.6302162452360895,11.890505189298159,14.042400979599241,12.748054855616681
10.0,13074.00272882712,-13074.00272882712,238.36375,10.0,10.0,2.4335041539440203,12.835324541252707,12.919225502913818,13.403510241683094
11.37692650802397,13040.056592853394,-13040.056592853394,239.01025,10.0,10.0,2.8376331933244865,12.991690839402859,12.275844128951443,15.0
10.0,13030.208820613589,-13030.208820613589,226.65925,10.0,11.423824258628272,1.6250950152798418,15.0,12.86290549567254,15.0
16.907750959689285,12908.860440164595,-12908.860440164595,244.177,10.0,10.0,3.0582202465848316,12.611747849317169,11.880118627159359,14.565489379048557
angle,energy_objective,penalized_score,stress_constraint,x1,x2,x3,y1,y2,y3
10.0,13153.707621157453,-13153.707621157453,232.03750000000002,11.023644396445865,10.113587647621364,1.0,12.240794026162245,14.344516492500485,15.0
10.0,13145.326941825875,-13145.326941825875,229.15225,10.467641018088159,10.0,1.0,13.183959358657745,14.482442033790452,14.948563362764222
10.0,13145.183304379489,-13145.183304379489,232.477,10.0,10.563707120596082,1.0,11.805921712593152,13.649326047271797,14.53756607555901
10.0,13144.598086374184,-13144.598086374184,231.45475000000002,10.832736649174231,10.31319851427728,1.0,11.701066877611893,13.728353139881253,15.0
10.0,13139.947321162703,-13139.947321162703,231.2275,10.02373504151989,10.406953439389378,1.3342367844952099,12.803554867577395,15.0,14.652440562461654
10.0,13137.027972382682,-13137.027972382682,231.98425,10.0,11.414522849150742,1.658845103025012,12.764669823329454,15.0,14.385460699742376
10.28967069245051,13118.43650584972,-13118.43650584972,231.9805,11.100715132679213,11.939626267247816,1.0,11.704524576589177,14.415449542184463,13.610931953045792
10.973751123276381,13115.101993976788,-13115.101993976788,232.07875,10.40615045787476,10.324444510457933,1.718258374797361,13.114125187288915,14.937232086898513,14.02991054173569
10.0,13114.24646365233,-13114.24646365233,235.72,10.0,11.39595149581949,1.9411016982801557,11.985135850590346,15.0,13.722274528071582
10.0,13114.195932514867,-13114.195932514867,237.7885,10.0,10.0,2.3185522385491018,12.773513931561052,15.0,13.786647497260581
10.0,13102.690168430794,-13102.690168430794,239.326,10.384192072616765,10.099908522547592,1.5613198612572212,10.546682833331952,13.18351775541049,13.659981796633778
11.600162161840935,13073.675268516563,-13073.675268516563,224.3515,10.344484152257102,10.0,1.0,15.0,14.8992489598101,15.0
10.0,13061.17708980874,-13061.17708980874,240.442,10.72064601734962,10.0,2.030313318722884,11.184870331023056,13.907852893310679,12.849050982062845
13.964408891284052,13059.925786386328,-13059.925786386328,227.22625,10.0,10.886566179426037,1.580461841096314,12.811003067115836,13.977565409077226,14.171748871461572
14.196579781524989,13056.89221060897,-13056.89221060897,236.53825,10.0,11.329799478450337,1.0,11.865908697896764,15.0,15.0
14.558433858465968,13041.455859751657,-13041.455859751657,238.09,10.0,10.108051778519188,1.0,13.196017032189273,15.0,15.0
14.764103562471963,13033.902823097227,-13033.902823097227,237.97975,10.077817671367903,10.0,2.0118182666775426,10.550575199197732,13.761677420794365,15.0
15.456494685325065,13010.160299586514,-13010.160299586514,228.72400000000002,10.0,10.440193278394288,1.1650183865480286,12.915398445922245,13.159251572786214,13.847040494247704
17.71592092723542,12965.866902914318,-12965.866902914318,256.1245,10.502804812031258,10.0,2.148921875196324,12.717420192466099,14.14326213936585,15.0
18.7929724688724,12952.546950702632,-12952.546950702632,254.758,10.0,10.0,1.4194130986278575,12.051716979276964,15.0,14.544956216530888
angle,energy_objective,penalized_score,stress_constraint,x1,x2,x3,y1,y2,y3
10.0,13137.10279792978,-13137.10279792978,232.8085,11.792832361621132,10.0,1.0,12.014967306611428,14.446855405637573,15.0
10.0,13125.940632765472,-13125.940632765472,238.03,10.0,10.396018378737246,1.0,10.0,12.523876849069962,13.72262793675546
10.0,13101.123363220966,-13101.123363220966,234.637,10.0,10.0,1.953619488593826,10.0,10.886798328663462,14.928501362114321
14.249966676094862,13023.660810911944,-13023.660810911944,236.269,10.0,12.037726209954723,1.0,10.0,11.967771113633344,15.0
10.0,12892.00515166622,-12892.00515166622,248.32225,15.0,10.0,1.0,10.0,15.0,13.144776709848708
13.062931681985766,12864.919650953436,-12864.919650953436,235.70274999999998,14.600714146798508,11.39683874883098,1.8305265887147162,11.047176929559704,10.742622127709732,13.651023358184176
20.17285817998852,12812.54352015804,-12812.54352015804,260.42275,10.0,14.676087389392125,5.0,12.920994462040568,15.0,14.6350428758508
20.71292511727226,12701.604389125929,-12701.604389125929,272.51575,11.89859120719529,13.388795042122705,1.0,10.0,10.445312065539673,15.0
25.206369347160166,12494.3541383539,-12494.3541383539,274.30825000000004,11.345427499225043,10.0,2.9184453242152655,12.696344289012345,10.550959596856625,12.571284148596876
30.0,12187.114479180304,27310266.088645827,391.88125,10.369496044376499,10.0,1.0,11.117170845954142,10.0,15.0
angle,energy_objective,penalized_score,stress_constraint,x1,x2,x3,y1,y2,y3
